"city","tag","date","time","pit_notes"
982,"000411818556","2017-05-20","14:40:03",NULL
985,153000407422,"2016-05-17","10:36:28",NULL
985,153000407421,"2016-05-16","10:40:39",NULL
985,153000407326,"2016-05-17","13:28:49",NULL
985,153000407324,"2016-05-15","14:22:16",NULL
985,153000407315,"2016-06-05","13:22:10",NULL
985,153000407303,"2016-06-14","12:44:46",NULL
985,153000407303,"2016-05-15","09:45:13",NULL
982,"000411818571","2017-05-29","10:48:16",NULL
985,153000407233,"2016-05-12","13:51:01",NULL
986,112100172142,"2017-05-28","12:02:51",NULL
985,153000407175,"2016-05-16","11:20:30",NULL
985,153000407161,"2016-05-19","09:17:24",NULL
985,153000407139,"2016-05-16","09:58:38",NULL
985,153000407128,"2016-05-12","11:56:35",NULL
985,153000407113,"2016-05-17","10:53:27",NULL
982,"000411818525","2017-05-15","12:54:52",NULL
999,170000716882,"2017-05-25","06:55:38",NULL
985,153000407066,"2016-05-15","13:13:04",NULL
985,153000355459,"2017-05-30","13:24:40",NULL
985,153000407062,"2016-05-29","14:50:31",NULL
985,153000407049,"2016-06-07","11:04:37",NULL
985,153000402774,"2017-05-21","10:43:54",NULL
985,153000407023,"2016-05-15","10:41:08",NULL
986,112100172267,"2017-06-11","11:44:11",NULL
982,"000411818492","2017-05-14","10:07:17",NULL
985,153000407331,"2016-05-21","14:30:15",NULL
985,153000406846,"2016-05-21","11:08:50",NULL
985,153000406841,"2015-06-13","09:13:49",NULL
986,112100164101,"2017-06-15","13:08:15",NULL
985,153000406793,"2016-05-15","11:29:27",NULL
985,153000406780,"2016-06-05","13:27:09",NULL
985,153000406582,"2016-05-21","10:05:31",NULL
985,153000406548,"2016-06-16","07:57:48",NULL
985,153000407312,"2016-06-02","13:40:01",NULL
985,153000406518,"2016-05-29","12:35:33",NULL
982,"000411818601","2017-06-06","11:36:47",NULL
985,153000406441,"2016-06-15","09:07:42",NULL
985,153000406441,"2016-05-21","09:16:41",NULL
985,153000406415,"2016-05-19","12:19:11",NULL
985,153000406411,"2016-05-19","09:50:43",NULL
982,"000411818630","2017-06-06","11:22:27",NULL
985,153000406394,"2016-05-21","09:46:56",NULL
986,112100170256,"2017-06-10","14:35:46",NULL
985,153000406505,"2016-05-14","15:26:08",NULL
985,153000406356,"2016-05-29","12:29:10",NULL
985,153000406330,"2016-05-12","15:05:06",NULL
985,153000406276,"2016-05-19","14:11:09",NULL
985,153000406261,"2016-05-15","13:30:13",NULL
985,153000406256,"2016-06-04","10:38:56",NULL
985,153000364038,"2017-06-02","13:23:59",NULL
985,153000406226,"2016-05-18","14:48:06",NULL
982,"000411818593","2017-06-05","16:09:25",NULL
985,153000406110,"2016-05-29","12:20:03",NULL
985,153000406031,"2016-05-12","15:32:47",NULL
985,153000405925,"2016-05-12","14:51:57",NULL
985,153000407490,"2016-05-27","10:44:47",NULL
985,153000405779,"2016-05-21","13:48:34",NULL
985,153000405736,"2016-05-14","16:08:11",NULL
985,153000405709,"2016-05-21","10:17:07",NULL
982,"000411818456","2017-05-14","11:37:38",NULL
985,153000405702,"2016-06-07","14:16:26",NULL
985,153000405666,"2016-06-03","14:31:12",NULL
985,153000405590,"2016-06-07","10:26:03",NULL
985,153000405499,"2016-06-15","13:29:58",NULL
985,153000405493,"2016-05-16","13:49:07",NULL
982,"000411818479","2017-06-11","14:03:23",NULL
985,153000405478,"2016-05-12","11:14:16",NULL
985,153000405440,"2016-05-28","14:01:01",NULL
982,"000411818613","2017-06-12","10:01:33",NULL
985,153000405336,"2015-06-13","09:10:36",NULL
986,112100175142,"2017-06-02","12:14:34",NULL
985,153000405309,"2016-05-18","11:13:23",NULL
982,"000411818448","2017-05-15","13:35:40",NULL
985,153000405234,"2016-05-26","09:51:29",NULL
985,153000405229,"2016-05-21","10:09:36",NULL
985,153000374351,"2017-05-16","11:43:26",NULL
999,170000716882,"2017-05-12","05:41:23",NULL
985,153000405158,"2016-05-18","14:41:10",NULL
985,153000405154,"2016-05-12","14:43:23",NULL
985,153000405147,"2016-05-18","14:38:33",NULL
985,153000405116,"2015-06-13","09:14:26",NULL
985,153000405082,"2016-05-25","14:48:13",NULL
982,"000411818476","2017-05-20","11:37:42",NULL
985,153000405033,"2015-06-13","09:12:55",NULL
985,153000405015,"2015-06-13","09:11:47",NULL
985,153000404994,"2016-05-19","14:44:59",NULL
985,153000404952,"2016-05-18","14:04:37",NULL
982,"000411818464","2017-05-13","14:33:31",NULL
985,153000404937,"2016-05-31","13:08:46",NULL
985,153000404937,"2016-05-17","13:59:29",NULL
985,153000404914,"2016-06-05","10:39:47",NULL
985,153000404885,"2016-05-28","10:38:52",NULL
985,153000404875,"2016-05-14","12:49:44",NULL
985,153000404867,"2016-06-05","09:59:34",NULL
986,112100165514,"2017-06-10","10:25:58",NULL
985,153000404797,"2016-05-19","11:45:21",NULL
985,153000404764,"2016-05-18","09:55:18",NULL
985,153000404758,"2016-05-21","10:48:36",NULL
985,153000404724,"2016-05-28","14:13:29",NULL
985,153000404672,"2016-06-05","12:05:26",NULL
982,"000411818450","2017-05-28","12:21:27",NULL
985,153000404670,"2015-06-14","09:59:48",NULL
982,"000411818471","2017-05-15","14:29:27",NULL
985,153000404654,"2016-05-27","10:30:28",NULL
982,"000411818508","2017-05-14","11:17:10",NULL
985,153000404563,"2016-05-18","10:46:55",NULL
985,153000404548,"2015-06-13","09:12:01",NULL
985,153000404526,"2016-06-05","09:15:55",NULL
985,153000404490,"2016-05-21","10:37:56",NULL
986,112100172016,"2017-06-09","10:09:30",NULL
985,153000355734,"2015-06-14","15:02:47",NULL
985,153000354495,"2016-06-04","11:00:42",NULL
985,153000404328,"2016-05-16","10:06:18",NULL
986,112100164061,"2017-06-09","09:09:05",NULL
985,153000356182,"2015-06-14","11:14:32",NULL
982,"000411818575","2017-05-29","10:33:56",NULL
985,153000404281,"2016-05-15","10:29:57",NULL
985,153000404272,"2016-05-15","13:03:49",NULL
985,153000373851,"2015-01-06","06:42:31",NULL
985,153000404251,"2016-06-02","10:45:17",NULL
985,153000373354,"2015-01-09","12:34:30",NULL
985,153000404213,"2016-05-13","09:36:38",NULL
985,153000400358,"2016-05-26","10:49:34",NULL
985,153000402132,"2016-05-17","11:06:55",NULL
986,112100175647,"2017-06-12","10:06:18",NULL
985,153000362714,"2015-06-14","11:27:44",NULL
986,112100172689,"2017-05-23","10:16:53",NULL
985,153000404104,"2016-05-17","11:09:54",NULL
985,153000373851,"2015-01-08","10:47:54",NULL
985,153000404088,"2016-05-18","10:00:22",NULL
985,153000364158,"2016-06-03","10:08:34",NULL
985,153000404065,"2016-05-31","14:03:23",NULL
985,153000372339,"2016-05-14","12:03:50",NULL
982,"000411818725","2017-06-06","11:03:33",NULL
985,153000404043,"2016-05-27","11:02:31",NULL
985,153000404009,"2016-06-05","09:23:39",NULL
985,153000373851,"2015-01-08","13:52:19",NULL
985,153000402078,"2016-06-02","10:42:54",NULL
985,153000402923,"2016-06-02","12:47:08",NULL
985,153000404510,"2016-05-31","09:52:10",NULL
982,"000411818484","2017-06-11","13:58:09",NULL
