"ligation_id","digest_id","date",DNA,vol_in,water,barcode_num,"pool","well","plate","notes","regeno","total_reads","lack_rad_tag","low_quality","retained","correction","corr_message","corr_editor","corr_date"
"L1460","D1577","2015-08-31",60,15,7.2,14,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1461","D1580","2015-08-31",60,10.1,12.1,15,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1462","D1578","2015-08-31",60,7.4,14.8,16,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1463","D1560","2015-08-31",60,20.4,1.8,17,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1464","D1774","2015-08-31",60,16.4,5.8,18,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1465","D1553","2015-08-31",60,17.8,4.4,19,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1466","D1554","2015-08-31",60,9.8,12.4,20,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1467","D1556","2015-08-31",60,15.7,6.5,21,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1468","D1771","2015-08-31",60,20.3,1.9,22,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1469","D1775","2015-08-31",60,13.1,9.1,23,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1470","D1532","2015-08-31",60,18.2,4,24,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1471","D1534","2015-08-31",60,9.6,12.6,25,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1472","D1548","2015-08-31",60,9.9,12.3,26,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1473","D1551","2015-08-31",60,11.8,10.4,27,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1474","D1559","2015-08-31",60,18.6,3.6,28,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1475","D1539","2015-08-31",60,20.7,1.5,29,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1476","D1541","2015-08-31",60,14.1,8.1,30,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1477","D1772","2015-08-31",60,19.9,2.3,31,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1478","D1782","2015-08-31",60,12.9,9.3,32,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1479","D1616","2015-08-31",60,10.6,11.6,33,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1480","D1618","2015-08-31",60,11.4,10.8,34,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1481","D1621","2015-08-31",60,8.3,13.9,35,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1482","D1623","2015-08-31",60,7.8,14.4,36,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1483","D1628","2015-08-31",60,14,8.2,37,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1484","D1629","2015-08-31",60,16.6,5.6,38,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1485","D1631","2015-08-31",60,13.2,9,39,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1486","D1632","2015-08-31",60,11.9,10.3,40,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1487","D1635","2015-08-31",60,10.3,11.9,41,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1488","D1636","2015-08-31",60,17.6,4.6,42,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1489","D1637","2015-08-31",60,13.8,8.4,43,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1490","D1638","2015-08-31",60,18,4.2,44,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1491","D1643","2015-08-31",60,9.3,12.9,45,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1492","D1644","2015-08-31",60,7.8,14.4,46,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1493","D1649","2015-08-31",60,9,13.2,47,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1494","D1656","2015-08-31",60,17,5.2,48,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1495","D1657","2015-08-31",60,6.5,15.7,1,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1496","D1660","2015-08-31",60,10.6,11.6,2,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1497","D1663","2015-08-31",60,15.5,6.7,3,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1498","D1670","2015-08-31",60,6.4,15.8,4,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1499","D1671","2015-08-31",60,17.9,4.3,5,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1500","D1672","2015-08-31",60,10.5,11.7,6,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1501","D1673","2015-08-31",60,6.3,15.9,7,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1502","D1675","2015-08-31",60,12.7,9.5,8,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1503","D1676","2015-08-31",60,15.4,6.8,9,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1504","D1678","2015-08-31",60,7.3,14.9,10,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1505","D1680","2015-08-31",60,10.3,11.9,11,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1506","D1682","2015-08-31",60,9.6,12.6,12,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1507","D1683","2015-08-31",60,19.7,2.5,13,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1508","D1685","2015-08-31",60,7.5,14.7,14,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1509","D1687","2015-08-31",60,6.9,15.3,15,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1510","D1689","2015-08-31",60,7.4,14.8,16,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1511","D1690","2015-08-31",60,10.3,11.9,17,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1512","D1699","2015-08-31",60,15.2,7,18,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1513","D1701","2015-08-31",60,8,14.2,19,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1514","D1705","2015-08-31",60,7.6,14.6,20,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1515","D1709","2015-08-31",60,20.2,2,21,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1516","D1712","2015-08-31",60,7.4,14.8,22,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1517","D1714","2015-08-31",60,19.1,3.1,23,"P037",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
